	0
0	A1BG
1	AAAS
2	AAGAB
3	AAK1
4	AAMP
5	ABCF1
6	ABHD11
7	ABHD3
8	ABI1
9	ABRACL
10	ABT1
11	ACAA1
12	ACAA2
13	ACADVL
14	ACAP1
15	ACAP2
16	ACAT1
17	ACIN1
18	ACLY
19	ACP1
20	ACSL4
21	ACTB
22	ACTG1
23	ACTL6A
24	ACTN4
25	ACTR10
26	ACTR2
27	ACTR3
28	ADA
29	ADAM10
30	ADAR
31	ADD1
32	ADD3
33	ADH5
34	ADI1
35	ADIPOR1
36	ADPGK
37	ADRM1
38	AFF4
39	AFMID
40	AGAP3
41	AHCY
42	AHNAK
43	AHSA1
44	AIF1
45	AIMP1
46	AIMP2
47	AIP
48	AK2
49	AKAP13
50	AKAP9
51	AKIRIN1
52	AKIRIN2
53	AKNA
54	AKR1A1
55	AKR1B1
56	AKR1C3
57	AKR7A2
58	AKT1S1
59	ALAD
60	ALDH18A1
61	ALDH2
62	ALDH6A1
63	ALDOA
64	ALG3
65	ALG5
66	ALG8
67	ALKBH2
68	ALKBH7
69	ALOX5AP
70	ALYREF
71	AMD1
72	AMMECR1
73	AMZ2
74	ANAPC11
75	ANAPC16
76	ANAPC5
77	ANAPC7
78	ANKRD10
79	ANKRD11
80	ANKRD12
81	ANKRD13D
82	ANKRD28
83	ANKZF1
84	ANP32A
85	ANP32B
86	ANP32E
87	ANTXR2
88	ANXA1
89	ANXA11
90	ANXA2
91	ANXA4
92	ANXA5
93	ANXA6
94	ANXA7
95	AP1S1
96	AP1S2
97	AP2M1
98	AP2S1
99	AP3S1
100	AP5Z1
101	APBB1IP
102	APEX1
103	APEX2
104	APH1A
105	APLP2
106	APMAP
107	APOC1
108	APOL6
109	APOO
110	APP
111	APPL1
112	APRT
113	AREG
114	ARF1
115	ARF4
116	ARF5
117	ARF6
118	ARFGAP1
119	ARGLU1
120	ARHGAP15
121	ARHGAP30
122	ARHGDIA
123	ARHGDIB
124	ARHGEF1
125	ARHGEF37
126	ARHGEF6
127	ARID1A
128	ARID4A
129	ARID4B
130	ARID5A
131	ARID5B
132	ARL2BP
133	ARL4A
134	ARL4C
135	ARL4D
136	ARL5A
137	ARL6IP1
138	ARL6IP4
139	ARL6IP5
140	ARMC10
141	ARMC6
142	ARMCX3
143	ARPC1A
144	ARPC1B
145	ARPC2
146	ARPC3
147	ARPC4
148	ARPC5
149	ARPC5L
150	ARPP19
151	ARRB2
152	ARRDC1
153	ARRDC3
154	ASAH1
155	ASH1L
156	ASNS
157	ATAD2
158	ATAD3B
159	ATF3
160	ATF4
161	ATF6B
162	ATG12
163	ATG3
164	ATIC
165	ATM
166	ATOX1
167	ATP13A1
168	ATP1A1
169	ATP1B1
170	ATP1B3
171	ATP2B1
172	ATP2B4
173	ATP6AP1
174	ATP6AP2
175	ATP6V0B
176	ATP6V0D1
177	ATP6V0E1
178	ATP6V1E1
179	ATP6V1F
180	ATP6V1G1
181	ATRAID
182	ATRX
183	ATXN10
184	ATXN2L
185	AUP1
186	AURKAIP1
187	AXIN1
188	AZIN1
189	B2M
190	B3GAT3
191	B4GALT1
192	B4GALT3
193	B4GALT7
194	BAG1
195	BANF1
196	BAX
197	BAZ1A
198	BAZ1B
199	BAZ2A
200	BAZ2B
201	BBC3
202	BBX
203	BCAP31
204	BCAS2
205	BCCIP
206	BCL2L12
207	BCLAF1
208	BCS1L
209	BDP1
210	BID
211	BIK
212	BIN1
213	BIN2
214	BIRC2
215	BIRC3
216	BIRC5
217	BIRC6
