hgGenes	mmGenes
SAMD11	Samd11
NOC2L	Noc2l
PLEKHN1	Plekhn1
ISG15	Isg15
AGRN	Agrn
RNF223	Rnf223
MIR200B	Mir200b
MIR200A	Mir200a
MIR429	Mir429
TTLL10	Ttll10
TNFRSF18	Tnfrsf18
TNFRSF4	Tnfrsf4
SDF4	Sdf4
B3GALT6	B3galt6
UBE2J2	Ube2j2
ACAP3	Acap3
PUSL1	Pusl1
TAS1R3	Tas1r3
DVL1	Dvl1
MXRA8	Mxra8
AURKAIP1	Aurkaip1
CCNL2	Ccnl2
MRPL20	Mrpl20
ANKRD65	Ankrd65
TMEM88B	Tmem88b
VWA1	Vwa1
ATAD3A	Atad3a
TMEM240	Tmem240
SSU72	Ssu72
MIB2	Mib2
CDK11B	Cdk11b
SLC35E2	Slc35e2
NADK	Nadk
GNB1	Gnb1
TMEM52	Tmem52
GABRD	Gabrd
PRKCZ	Prkcz
SKI	Ski
MORN1	Morn1
RER1	Rer1
PEX10	Pex10
PLCH2	Plch2
PANK4	Pank4
HES5	Hes5
TNFRSF14	Tnfrsf14
FAM213B	Fam213b
MMEL1	Mmel1
TTC34	Ttc34
ACTRT2	Actrt2
PRDM16	Prdm16
ARHGEF16	Arhgef16
MEGF6	Megf6
WRAP73	Wrap73
CCDC27	Ccdc27
SMIM1	Smim1
LRRC47	Lrrc47
CEP104	Cep104
DFFB	Dffb
AJAP1	Ajap1
NPHP4	Nphp4
KCNAB2	Kcnab2
CHD5	Chd5
RPL22	Rpl22
RNF207	Rnf207
ICMT	Icmt
HES3	Hes3
GPR153	Gpr153
ACOT7	Acot7
HES2	Hes2
ESPN	Espn
TNFRSF25	Tnfrsf25
PLEKHG5	Plekhg5
NOL9	Nol9
TAS1R1	Tas1r1
ZBTB48	Zbtb48
KLHL21	Klhl21
PHF13	Phf13
THAP3	Thap3
DNAJC11	Dnajc11
CAMTA1	Camta1
VAMP3	Vamp3
PER3	Per3
UTS2	Uts2
TNFRSF9	Tnfrsf9
PARK7	Park7
ERRFI1	Errfi1
SLC45A1	Slc45a1
RERE	Rere
ENO1	Eno1
SLC2A7	Slc2a7
SLC2A5	Slc2a5
GPR157	Gpr157
MIR34A	Mir34a
H6PD	H6pd
SPSB1	Spsb1
SLC25A33	Slc25a33
TMEM201	Tmem201
PIK3CD	Pik3cd
CLSTN1	Clstn1
CTNNBIP1	Ctnnbip1
LZIC	Lzic
NMNAT1	Nmnat1
RBP7	Rbp7
UBE4B	Ube4b
KIF1B	Kif1b
PGD	Pgd
CORT	Cort
DFFA	Dffa
