hgGenes	mmGenes
A1BG	A1bg
A1CF	A1cf
A2M	A2m
A3GALT2	A3galt2
A4GALT	A4galt
A4GNT	A4gnt
AAAS	Aaas
AACS	Aacs
AADAC	Aadac
AADACL2	Aadacl2
AADACL3	Aadacl3
AADACL4	Aadacl4
AADAT	Aadat
AAGAB	Aagab
AAK1	Aak1
AAMDC	Aamdc
AAMP	Aamp
AANAT	Aanat
AAR2	Aar2
AARD	Aard
AARS2	Aars2
AARSD1	Aarsd1
AASDH	Aasdh
AASDHPPT	Aasdhppt
AASS	Aass
AATF	Aatf
AATK	Aatk
ABAT	Abat
ABCA1	Abca1
ABCA12	Abca12
ABCA13	Abca13
ABCA2	Abca2
ABCA3	Abca3
ABCA4	Abca4
ABCA5	Abca5
ABCA6	Abca6
ABCA7	Abca7
ABCA8	Abca8a
ABCA8	Abca8b
ABCA9	Abca9
ABCB1	Abcb1a
ABCB10	Abcb10
ABCB11	Abcb11
ABCB4	Abcb4
ABCB5	Abcb5
ABCB6	Abcb6
ABCB7	Abcb7
ABCB8	Abcb8
ABCB9	Abcb9
ABCC1	Abcc1
ABCC10	Abcc10
ABCC12	Abcc12
ABCC2	Abcc2
ABCC3	Abcc3
ABCC4	Abcc4
ABCC5	Abcc5
ABCC6	Abcc6
ABCC8	Abcc8
ABCC9	Abcc9
ABCD1	Abcd1
ABCD2	Abcd2
ABCD3	Abcd3
ABCD4	Abcd4
ABCE1	Abce1
ABCF1	Abcf1
ABCF2	Abcf2
ABCF3	Abcf3
ABCG1	Abcg1
ABCG2	Abcg2
ABCG4	Abcg4
ABCG5	Abcg5
ABCG8	Abcg8
ABHD10	Abhd10
ABHD11	Abhd11
ABHD12	Abhd12
ABHD12B	Abhd12b
ABHD13	Abhd13
ABHD14A	Abhd14a
ABHD14B	Abhd14b
ABHD15	Abhd15
ABHD16A	Abhd16a
ABHD16B	Abhd16b
ABHD17A	Abhd17a
ABHD17B	Abhd17b
ABHD17C	Abhd17c
ABHD2	Abhd2
ABHD3	Abhd3
ABHD4	Abhd4
ABHD5	Abhd5
ABHD6	Abhd6
ABHD8	Abhd8
ABI1	Abi1
ABI2	Abi2
ABI3	Abi3
ABI3BP	Abi3bp
ABL1	Abl1
ABL2	Abl2
ABLIM1	Ablim1
ABLIM2	Ablim2
ABLIM3	Ablim3
ABR	Abr
ABRA	Abra
ABRACL	Abracl
ABT1	Abt1
ABTB1	Abtb1
ABTB2	Abtb2
ACAA1	Acaa1a
ACAA1	Acaa1b
ACAA2	Acaa2
ACACA	Acaca
ACACB	Acacb
ACAD10	Acad10
ACAD11	Acad11
ACAD8	Acad8
ACAD9	Acad9
ACADL	Acadl
ACADM	Acadm
ACADS	Acads
ACADSB	Acadsb
ACADVL	Acadvl
ACAN	Acan
ACAP1	Acap1
ACAP2	Acap2
ACAP3	Acap3
ACAT1	Acat1
ACAT2	Acat2
ACAT2	Acat3
ACBD3	Acbd3
ACBD4	Acbd4
ACBD5	Acbd5
ACBD6	Acbd6
ACBD7	Acbd7
ACCS	Accs
ACCSL	Accsl
ACD	Acd
ACE	Ace
ACE2	Ace2
ACER1	Acer1
ACER2	Acer2
ACER3	Acer3
ACHE	Ache
ACIN1	Acin1
ACKR2	Ackr2
ACKR3	Ackr3
ACKR4	Ackr4
ACLY	Acly
ACMSD	Acmsd
ACO1	Aco1
ACO2	Aco2
ACOT1	Acot1
ACOT11	Acot11
ACOT12	Acot12
